MovieID,Title,Year,RatingMean
1,The Shawshank Redemption,1994,9.252275892916423
2,The Godfather,1972,9.272843504471862
3,The Dark Knight,2008,9.035001305378618
4,The Godfather Part II,1974,9.11734331576586
5,12 Angry Men,1957,8.897515558142361
6,Schindler's List,1993,8.899906175617257
7,The Lord of the Rings: The Return of the King,2003,8.863318528691513
8,Pulp Fiction,1994,8.977819145229494
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.885095484210915
10,"Il buono, il brutto, il cattivo",1966,8.906155735181544
11,Forrest Gump,1994,8.876476193918473
12,Fight Club,1999,8.797651149905061
13,Inception,2010,8.739482328715173
14,The Lord of the Rings: The Two Towers,2002,8.807272183687472
15,The Empire Strikes Back,1980,8.86550637421807
16,The Matrix,1999,8.676641744741868
17,Goodfellas,1990,8.881114929013814
18,One Flew Over the Cuckoo's Nest,1975,8.80161150654536
19,Se7en,1995,8.721484129548235
20,Shichinin no samurai,1954,8.740595922206998
21,It's a Wonderful Life,1946,8.598355558133205
22,The Silence of the Lambs,1991,8.736664975272465
23,Cidade de Deus,2002,8.876273343841767
24,Saving Private Ryan,1998,8.73991046876873
25,La vita  bella,1997,8.727995248816363
26,The Green Mile,1999,8.731459591518666
27,Interstellar,2014,8.599743191671418
28,Star Wars,1977,8.757687133669108
29,Terminator 2: Judgment Day,1991,8.68871148303227
30,Back to the Future,1985,8.65838339428729
31,Sen to Chihiro no kamikakushi,2001,8.777661104020936
32,Psycho,1960,8.631645733181793
33,The Pianist,2002,8.498982860222648
34,Lon,1994,8.499955973746264
35,Gisaengchung,2019,8.5
36,The Lion King,1994,8.655886290749446
37,Gladiator,2000,8.529306778431813
38,American History X,1998,8.703212223762568
39,The Usual Suspects,1995,8.708771908524843
40,The Departed,2006,8.643456379089239
41,The Prestige,2006,8.612624757975476
42,Casablanca,1942,8.807473450908613
43,Whiplash,2014,8.55223117636351
44,The Intouchables,2011,8.5229781082054
45,Top Gun: Maverick,2022,8.750526954875806
46,Modern Times,1936,8.594869649179273
47,Seppuku,1962,8.4
48,Hotaru no haka,1988,8.571936252289879
49,Once Upon a Time in the West,1968,8.546453032551277
50,Rear Window,1954,8.58854022221081
51,Alien,1979,8.625276434871443
52,City Lights,1931,8.54471530625999
53,Nuovo Cinema Paradiso,1988,8.612033038009368
54,Memento,2000,8.571085091583583
55,Apocalypse Now,1979,8.67611074400405
56,Raiders of the Lost Ark,1981,8.650297179481411
57,Django Unchained,2012,8.51377192773395
58,WALLE,2008,8.394058213057855
59,The Lives of Others,2006,8.647360931489246
60,Sunset Blvd.,1950,8.604441206426147
61,Paths of Glory,1957,8.525170117568877
62,The Shining,1980,8.580949352144982
63,The Great Dictator,1940,8.511609407658435
64,Witness for the Prosecution,1957,8.442915106117354
65,Avengers: Infinity War,2018,8.432600744049397
66,Aliens,1986,8.588588895402395
67,American Beauty,1999,8.480454709444382
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.488358890299532
69,Spider-Man: Into the Spider-Verse,2018,8.319091284464424
70,The Dark Knight Rises,2012,8.393077019007931
71,Oldeuboi,2003,8.3
72,Joker,2019,8.303445248923616
73,Amadeus,1984,8.541841380269371
74,Braveheart,1995,8.339267149338466
75,Toy Story,1995,8.484347944684144
76,Coco,2017,8.296483520103436
77,Das Boot,1981,8.41795304896552
78,Inglourious Basterds,2009,8.374789892673075
79,Mononoke-hime,1997,8.526497301593512
80,Avengers: Endgame,2019,8.3289645517848
81,Once Upon a Time in America,1984,8.42610415193454
82,Good Will Hunting,1997,8.53012448403379
83,Toy Story 3,2010,8.46422364416772
84,Requiem for a Dream,2000,8.532368810514644
85,Kimi no na wa.,2016,8.30033227266686
86,Singin' in the Rain,1952,8.654032029812727
87,3 Idiots,2009,8.32493896328801
88,Star Wars: Episode VI - Return of the Jedi,1983,8.51433120076517
89,2001: A Space Odyssey,1968,8.465127614682437
90,Eternal Sunshine of the Spotless Mind,2004,8.522386090352986
91,Reservoir Dogs,1992,8.520486934344923
92,Tengoku to jigoku,1963,8.3
93,Capharnam,2018,8.311457378551788
94,Citizen Kane,1941,8.430370807232705
95,Lawrence of Arabia,1962,8.44728020807312
96,Jagten,2012,8.330066055123106
97,M - Eine Stadt sucht einen Mrder,1931,8.465584845674924
98,North by Northwest,1959,8.447003911663822
99,Vertigo,1958,8.421547201390453
100,Le fabuleux destin d'Amlie Poulain,2001,8.525925628785751
101,Idi i smotri,1985,8.201176778242678
102,A Clockwork Orange,1971,8.456905839016303
103,Full Metal Jacket,1987,8.50561363949413
104,Double Indemnity,1944,8.380217685265235
105,The Apartment,1960,8.346632884645484
106,Scarface,1983,8.457600103243086
107,Ikiru,1952,8.371777665811653
108,The Sting,1973,8.179615306212716
109,To Kill a Mockingbird,1962,8.441935913002673
110,Taxi Driver,1976,8.459238095958174
111,Up,2009,8.357555058592846
112,L.A. Confidential,1997,8.377910029031485
113,Heat,1995,8.36249008980293
114,Metropolis,1927,8.199872604088249
115,Jodaeiye Nader az Simin,2011,8.239583894105166
116,Die Hard,1988,8.46710362036227
117,Snatch,2000,8.452037034663462
118,Incendies,2010,8.254205724216586
119,Hamilton,2020,8.205827910657757
120,Ladri di biciclette,1948,8.360708833093161
121,Indiana Jones and the Last Crusade,1989,8.502118847545058
122,1917,2019,8.225737123678515
123,Taare Zameen Par,2007,8.26998215455059
124,Der Untergang,2004,8.2
125,Per qualche dollaro in pi,1965,8.2
126,Batman Begins,2005,8.377724191720086
127,Spider-Man: No Way Home,2021,8.258385436996557
128,Dangal,2016,8.205937639222128
129,The Kid,1921,7.257945141369983
130,Some Like It Hot,1959,8.391213117260357
131,All About Eve,1950,8.393454737397729
132,The Father,2020,8.198722490148379
133,Green Book,2018,8.218442028158018
134,The Wolf of Wall Street,2013,8.204090160256738
135,Judgment at Nuremberg,1961,8.267252183472788
136,Ran,1985,8.417897133672648
137,Unforgiven,1992,8.199692892047869
138,Casino,1995,8.561979510340784
139,Pan's Labyrinth,2006,8.447753033664776
140,There Will Be Blood,2007,8.320768991617884
141,The Sixth Sense,1999,8.363485234882361
142,A Beautiful Mind,2001,8.435499376464623
143,The Truman Show,1998,8.333394915152512
144,Monty Python and the Holy Grail,1975,8.614192256545863
145,Yjinb,1961,8.2
146,The Treasure of the Sierra Madre,1948,8.1
147,Shutter Island,2010,8.034714502539368
148,Rashmon,1950,8.100192104504849
149,Jurassic Park,1993,8.306184536889614
150,The Great Escape,1963,8.509284820635145
151,Kill Bill: Vol. 1,2003,8.100628289084426
152,Everything Everywhere All at Once,2022,8.112487805529941
153,No Country for Old Men,2007,8.203721835299758
